WKT,osm:_timestamp,osm:_user,osm:accessibility,osm:addr:city,osm:addr:postcode,osm:addr:street,osm:amenity,osm:barrier,osm:barrier:gate,osm:barrier:security_fence,osm:building:blocks,osm:building:classrooms,osm:building:levels,osm:building:library,osm:building:material,osm:building:roof,osm:condition,osm:contact,osm:contact:,osm:contact:address,osm:contact:email,osm:contact:mobile,osm:contact:person,osm:contact:phone,osm:education:admission_fee,osm:education:board_of_management,osm:education:boarding,osm:education:bom,osm:education:bom_employed,osm:education:bom_how_many,osm:education:committees,osm:education:curriculum,osm:education:exam_affiliate,osm:education:exam_center,osm:education:exam_fee,osm:education:extra_agriculture_club,osm:education:extra_drama,osm:education:extra_music,osm:education:extra_nature_club,osm:education:extra_other,osm:education:extra_scouts,osm:education:extra_scouts/girl_guide,osm:education:extra_scouts:girl_guide,osm:education:extra_sports,osm:education:extra_woodwork,osm:education:fees,osm:education:fees_admission,osm:education:fees_exam,osm:education:fees_level,osm:education:fees_level1,osm:education:fees_level2,osm:education:fees_level3,osm:education:fees_level4,osm:education:fees_level5,osm:education:fees_level6,osm:education:fees_lunch,osm:education:fees_optional,osm:education:fees_other,osm:education:fees_per_term,osm:education:fees_per_year,osm:education:fees_sponsored,osm:education:fees_trip,osm:education:funding,osm:education:gender_type,osm:education:government_grants,osm:education:government_registered,osm:education:government_registered_which_ministry,osm:education:how_many,osm:education:lunch_fee,osm:education:management_committee,osm:education:mean,osm:education:mean_score,osm:education:nemis_code,osm:education:ntsa_approved_teachers,osm:education:num_classes,osm:education:operate_as,osm:education:operator,osm:education:other,osm:education:parents_teachers_association,osm:education:program_counselling,osm:education:program_feeding,osm:education:program_feeding_description,osm:education:program_feeding_description_1,osm:education:program_feeding_description_2,osm:education:program_orphans,osm:education:program_other,osm:education:program_sanitary_towel,osm:education:program_special_needs,osm:education:pta,osm:education:sanitary_towel,osm:education:sanitary_towel_distribution,osm:education:school_head,osm:education:special_needs,osm:education:sponsored_by,osm:education:sports,osm:education:student_female,osm:education:student_male,osm:education:students,osm:education:students_female,osm:education:students_male,osm:education:supported_by,osm:education:teachers,osm:education:teachers_female,osm:education:teachers_male,osm:education:teachers_trained,osm:education:teachers_tsc_registered,osm:education:teachers_under_going_training,osm:education:teachers_undergoing_training,osm:education:teachers_untrained,osm:education:trip_fee,osm:education:tsc_employ,osm:education:tsc_employed,osm:education:tsc_how_many,osm:education:type,osm:education:type_of_vocational_school,osm:education:which_ministry,osm:educations:sponsored_by,osm:electricity:operational_status,osm:government:registered,osm:government:registered_1,osm:government:registered_3,osm:id,osm:image,osm:image:classroom,osm:image:compound,osm:image:outside,osm:image:sign_post,osm:internet_access,osm:is_in:constituency,osm:is_in:estate,osm:is_in:village,osm:is_in:ward,osm:isced:level,osm:laboratory,osm:laboratory:equipment,osm:leisure,osm:level,osm:location,osm:name,osm:name:en,osm:operational_status:electricity,osm:operator,osm:operator:description,osm:operator:funding,osm:operator:name,osm:operator:type,osm:operator_type,osm:place:village,osm:playground,osm:playground:arranged_name,osm:polling_station:accessibility,osm:polling_station:election_year,osm:polling_station:nearest_health_centre,osm:polling_station:nearest_police_station,osm:polling_station:source,osm:polling_station:type,osm:polling_station:type_description,osm:registered_voters,osm:registration_date,osm:registration_year,osm:room:kitchen,osm:room:staff,osm:source,osm:start_date,osm:station:type_description,osm:toilet:arranged_name,osm:toilet:boys_toilet,osm:toilet:girls_toilet,osm:toilet:present,osm:toilet:teachers,osm:toilets,osm:toilets:female,osm:toilets:handwashing,osm:toilets:male,osm:toilets:teachers,osm:type,osm:waste:garbage_disposal,osm:water:hand_wash_facility,osm:water:source,osm:water:source_of_water,osm:water_source,osm:wikidata
"MULTIPOINT ((36.861305 -1.258908))",2020/12/01,muindre,,,,,school,,,,,,,,,,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,,,,,,,,node/8184270945,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1592637131716.jpg,,,,,,,,,,,,,,,mathare,Chang Rong Light Center,,,,Chang Rong,Chang Rong,,cbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.85904 -1.261468))",2020/12/01,muindre,,,,,school,,,,,,,,,,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,,,,,,,,node/8184308735,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1592552377946.jpg,,,,,,,,,,,,,,,mathare,Karuna School,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.85923 -1.262667))",2021/11/25,muindre,foot,,,,school,,,,"2","7","0",,iron_sheet,iron_sheet,good,,,"P O Box 77022-00611, Nairobi",,,,"0792918820",,,,,no,,,"8_4_4,2_6_3_3_3",MCEDO Primary School,no,,,yes,yes,,,yes,,,yes,,yes,"200","100",,,"2000","2000",,,,"0",,Entertainment 30,,"6000",,"0",,mixed,no,moe,,,,no,,,no,,"8",day_school,,,,no,yes,sponsored,,,yes,Feeding,yes,no,no,,,Rashida Ali,,,,,,"119","70","49",foreign_donors,"14","7",,"3","2","2",,"2",,,,,primary,,,,sometimes,,,,node/8184322538,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1590401237833.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1626164419314.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1626164473759.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1626164453197.jpg,,,,,,,,,,,,mathare,Hope Compassion Center,,,,individual,,,individual,,,outside_public_arranged,,,,,,,,,,,,,,,,,,,,yes,"4",,"2",yes,"2",,,,,,,water_tank,
"MULTIPOINT ((36.858683 -1.263678))",2020/12/01,muindre,,,,,school,,,,,,,,,,dilapidated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,,,,,,,,node/8184322539,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1590481251961.jpg,,,,,,,,,,,,,,,mathare,Ana Martin Escuela,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.859233 -1.262063))",2020/12/01,muindre,,,,,school,,,,,,,,,,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pre_primary,,,,,,,,node/8184372850,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1592547032645.jpg,,,,,,,,,,,,,,,mathare,Ebenezer Kim Daycare,,,,,Changqin D.B.S.A,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.857732 -1.261712))",2020/12/01,muindre,,,,,school,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,,,,,,,,node/8184385971,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1592553798948.jpg,,,,,,,,,,,,,,,mathare,Mathare Kingsway Education Centre,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.858138 -1.262198))",2020/12/01,muindre,,,,,school,,,,,,,,,,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,,,,,,,,node/8184397010,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1592553364367.jpg,,,,,,,,,,,,,,,mathare,Mathare Brilliant Academy,,,,,Go Abroad .com,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.85794 -1.262132))",2020/12/01,muindre,,,,,school,,,,,,,,,,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,children_home,,,,,,,,node/8184398981,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1592553971352.jpg,,,,,,,,,,,,,,,mathare,Nageya Children Home,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.843274 -1.266632))",2021/11/24,muindre,"small_cars,foot",,,,school,,,,"1","7","0",,"concrete,cement_block",iron_sheet,,,,11086-00100,,,,"0720344658",,,,,,,,2_6_3_3_3,,no,,,no,no,,,no,,,no,,yes,"500","200",,,"24750","0",,,,,,1500_graduation_fees,,"24750",,"1000",,mixed,no,moe,,,,no,,,yes,,"6",day_school,,,,yes,central_feeding,,,,yes,,no,no,no,,,Irene Okollah,,,,,,"25","10","15",,"2","2","0","2","1","0",,"0",,,,,primary,,,,always,,,,node/9134741817,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627895090337.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627895123761.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627895182844.jpg,,,,,,,,,,playground,,mathare,Judah Education Centre,,,,Elizabeth Nyaga,,,private_for_profit,,,,,,,,,,,,,,,,,,,,,,,yes,"1",,"2",yes,"2",,,,,water_tank,,,
"MULTIPOINT ((36.843399 -1.266575))",2021/11/24,muindre,"small_cars,foot",,,,school,,,,"2","7","0",,"concrete,cement_block",concrete,,,,11086-00100,,,,"0720344658",,,,,,,,2_6_3_3_3,,no,,,no,no,,,no,,,no,,yes,"500","200",,"7967",,,,,,,,1500_graduation_fee,,"7967",,"1000",,mixed,no,moe,,,,no,,,yes,,"6",day_school,,,,yes,central_feeding,,,,yes,,no,no,no,,,Irene Okollah,,,,,,"36","20","16",,"3","3",,"2","2",,,,,,,,pre_primary,,,,always,,,,node/9134752817,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627895032040.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627895079773.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627895181525.jpg,,,,,,,,,,playground,,mathare,Judah Education Centre,,,,Elizabeth Nyaga,,,private_for_profit,,,,,,,,,,,,,,,,,,,,,,,yes,"1",,"2",yes,"2",,,,,water_tank,,,
"MULTIPOINT ((36.84427 -1.265498))",2021/09/30,muindre,"big_vehicles,small_cars,foot",,,,school,,,,"1","2","0",,"concrete,cement_block,iron_sheet",iron_sheet,,,,,gracemumo37@gmail.com,,,"0710591215",,,,,,,,"8_4_4,2_6_3_3_3",,no,,,no,yes,,,no,,,yes,,yes,"300","100",,,"9000",,,,,"0",,,,"9000",,"0",,mixed,no,apbet,,,,yes,,,no,,"2",day_school,,,,no,no,,,,yes,,no,yes,no,,,Grace Mwololo,,,,,,"25","13","12",other,"5","5",,"5","2","3",,,,,,,primary,,,,sometimes,,,,node/9134851417,,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627898855177.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627898843455.jpg,,,,,,,,,,playground,,mathare,Strong Foundation Education Centre,,,,Grace Mwololo,,,individual,,,,,,,,,,,,,,,,,,,,,,,yes,"1",,"1",yes,"1",,,,,tap,,,
"MULTIPOINT ((36.844239 -1.265469))",2021/09/30,muindre,"foot,big_vehicles,small_cars",,,,school,,,,"1","3","0",,"cement_block,concrete,iron_sheets,wood",concrete,,,,,gracemumo37@gmail.com,,,"0710591215",,,,,,,,2_6_3_3_3,,,,,no,yes,,,no,,,no,,yes,"300","100",,,,,,,,"0",,,,"9000",,"0",,mixed,no,apbet,,,,yes,,,no,,"3",day_school,,,,no,no,,,,yes,,no,yes,no,,,Grace Mwololo,,,,,,"56","34","22",other,"4","4",,"1","1","3",,,,,,,pre_primary,,,,sometimes,,,,node/9134893317,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627898461089.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627898647830.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627898626465.jpg,,,,,,,,,,,,mathare,Strong Foundation Education Centre,,,,Grace Mwololo,,,individual,,,yes,,,,,,,,,,,,,,,,,,,,yes,"1",,"1",yes,"1",,,,,tap,,,
"MULTIPOINT ((36.844674 -1.265666))",2021/09/30,muindre,"small_cars,big_vehicles,foot",,,,school,,,,"2","2",,,cement_block concrete ironsheets wood,concrete,,,,72580-00200,,,,"0735415227",,,,,,,,2_6_3_3_3,,,,,no,yes,,,no,,,no,,yes,"500","0",,"6000",,,,,,"0",,,,"6000",,"0",,mixed,no,apbet,,,,yes,,,no,,"2",day_school,,,,no,yes,school_fees,,,yes,,no,no,no,,,Peris Kiesyo,,,,,,"35","15","20",other,"3","3",,,"1","2",,,,,,,pre_primary,,,,never,,,,node/9134936917,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627903388614.jpg,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627902970299.jpg,,,,,,,,,,,,mathare,Community Care School,,,,Paul Akoyi,,,cbo,,,outside_public_arranged,Slum Soccer Pequenino,,,,,,,,,,,,,,,,,,,yes,"2",,"2",yes,"2",,,,,water_tank,,,
"MULTIPOINT ((36.849203 -1.265977))",2021/10/01,muindre,foot,,,,school,,,,"2","4","0",,"iron_sheet,concrete",iron_sheet,,,,,,,,"723729298",,,,,,,,2_6_3_3_3,,no,,,no,no,,,no,,,no,,yes,"300","100",,,"9000",,,,,"5400",,,,"9000",,"1000",,mixed,no,no,,,,no,,,yes,,"2",day_school,,,,yes,central_feeding,,,,no,,no,yes,no,,,Florence Njeri,,,,,,"22","11","11",,"2","1","1","2",,,,,,,,,primary,,,,sometimes,,,,node/9137254518,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627898913920.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627898937617.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627899095678.jpg,,,,,,,,,,,,mathare,Angel Junior Academy,,,,Florence Njeri,,,private_for_profit,,,outside_public_arranged,Nigeria,,,,,,,,,,,,,,,,,,,yes,"1",,"1",yes,"1",,,,,water_tank,,,
"MULTIPOINT ((36.845028 -1.264567))",2021/10/01,muindre,big_vehicles,,,,school,,,,"1","3","3",,"wood,cement_block,concrete",ironsheet,,,,P O Box 68500-00622 Nairobi,lcmathare@yahoo.com,,,"0724293289",,,,,,,,2_6_3_3_3,,no,,,no,no,,,no,,,yes,,yes,"500","150",,"4500",,,,,,"0",,,,"4500",,"1500",,mixed,no,in_the_process,apbet,,,yes,,"0",yes,,"3",day_school,,,,yes,no,,,,yes,,no,no,no,,,Abraham Sitati Wamalwa,,,,,,"26","14","12",other,"3","3","0","3","0","0",,"0",,,,,pre_primary,,,,sometimes,,,,node/9137263417,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627892612150.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627890364295.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627890401638.jpg,,,,,,,,,,,,mathare,Loving Concern Education Centre,,,,Loving Concern Mission Centre,,,religious,,,outside_public_arranged,"St Teresa's Girls, Pequenino Play Ground",,,,,,,,,,,,,,,,,,,yes,"2",,"2",yes,"2",,,,,tap,,,
"MULTIPOINT ((36.849152 -1.265733))",2021/10/01,muindre,"small_cars,foot",,,,school,,,,"2","1","1",,iron_sheet,iron_sheet,,,,,,,,"0723729298",,,,,,,,2_6_3_3_3,,no,,,no,no,,,no,,,no,,yes,"300","100",,"6300",,,,,,"5400",,,,"6300",,"1000",,mixed,no,no,,,,no,,"0",yes,,"4",day_school,,,,yes,central_feeding,,,,no,,no,no,no,,,Florence Njeri,,,,,,"18","10","8",,"1","1","0","1",,,,,,,,,pre_primary,,,,always,,,,node/9137409517,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627898862750.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627898788764.jpg,,,,,,,,,,,,,mathare,Angel Junior Academy,,,,Florence Njeri,,,private_for_profit,,,outside_public_arranged,Nigeria,,,,,,,,,,,,,,,,,,,yes,"0",,"1",yes,"1",,,,,water_tank,,,
"MULTIPOINT ((36.852978 -1.265012))",2021/10/01,muindre,"foot,big_vehicles,small_cars",,,,school,,,,"1","1","1",,"concrete,cement_block",iron_sheet,,,,27994-00100,valley.view.academy@gmail.com,,,"0716466581",,,,,,,,"8_4_4,2_6_3_3_3",,yes,,,yes,yes,,Balle dance,yes,,,yes,,yes,"0","0",,"16000",,,,,,"0",,,,"16000",,"0",,mixed,no,mgcsd,,,,yes,,"0",yes,,"3",day_school,,,,yes,yes,school_fees,,,yes,,no,yes,yes,,,Moses Sumba,,,,,,"95","41","54",local_ngos,"3","3","0","3","3","0",,"0",,,,,pre_primary,,,,sometimes,,,,node/9137438617,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627891945242.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627891473698.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627891452960.jpg,,,,,,,,,,,,mathare,Valley View Academy,,,,Valley View Academy,,,community_owned,,,outside_public_arranged,Community,,,,,,,,,,,,,,,,,,,yes,"1",,"1",yes,"1",,,,,water_tank,,,
"MULTIPOINT ((36.85838 -1.265381))",2021/11/24,muindre,foot,,,,school,,,,"1","1","1",,"concrete,cement_block",iron_sheet,,,,77244-00611,,,,"0720818941",,,,,,,,2_6_3_3_3,,,,,yes,yes,,,no,,,yes,,yes,"0","0",,"8100",,,,,,"0",,,,"8100",,"0",,mixed,no,mgcsd,,,,no,,"0",no,,"1",day_school,,,,no,yes,sponsored,,,no,,no,no,yes,,,Godfrey Lutembe,,,,,,"16","9","7",other,"3","3","0","1","1","0",,"2",,,,,pre_primary,,,,always,,,,node/9137549717,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627894346245.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627894251242.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627894463948.jpg,,,,,,,,,,playground,,mathare,Inspiration Baby College,,,,Inspiration Centre,,,ngo,,,,,,,,,,,,,,,,,,,,,,,yes,"1",,"1",yes,"1",,,,,tap,,,
"MULTIPOINT ((36.863111 -1.262729))",2021/10/10,mueschel,"foot,small_cars",,,,school,,,,"2","11","0",,"wood,iron_sheet,concrete",iron_sheet,,,,71283-00622,crossplainschoolmathare@gmail.com,,,"0740763570",,,,,,,,2_6_3_3_3,,no,,,no,no,,,no,,,no,,yes,"300","100",,,"6000",,,,,"4500",,,,"6000",,"1000",,mixed,no,in_the_process,mgcsd,,,no,,,no,,"7",day_school,,,,no,central_feeding,,,,no,,no,no,no,,,Roseline Anakaya,,,,,,"40","19","21",,"3","3",,"1","1",,,"2",,,,,primary,,,,always,,,,node/9151258417,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627553561596.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627553516712.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627553495361.jpg,,,,,,,,,,,,mathare,Cross-Plain Community Center,,,,Cross-Plain Community Center,,,community_owned,,,outside_public_arranged,Austin ground,,,,,,,,,,,,,,,,,,,,"1",yes,"1",yes,"1",,,,,water_tank,,,
"MULTIPOINT ((36.862246 -1.259132))",2021/10/06,muindre,foot,,,,school,,,,"1","1","0",,"iron_sheet,concrete",iron_sheet,,,,,,,,"0727108662",,,,,,,,2_6_3_3_3,No,no,,,yes,yes,,,,,,yes,,yes,"200","450",,"4800",,,,,,"0",,,,"4800",,"0",,mixed,no,mgcsd,,,,no,,"0",no,,"3",day_school,,,,yes,no,,,,no,,no,no,yes,,,Caroline Ombewa,,,,,,"56","28","28",other,"3","3","0","1","0","0",,"2",,,,,pre_primary,,,,never,,,,node/9151273817,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627898818130.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627898835857.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627898904271.jpg,,,,,,,,,,,,mathare,Unique Opportunitys Child Forum (Happy Star Academy),,,,Unique Opportunity Child Forum,,,individual,,,no,,,,,,,,,,,,,,,,,,,,yes,"1",,"2",yes,"2",,,,,tap,,,
"MULTIPOINT ((36.862254 -1.2591))",2021/10/06,muindre,foot,,,,school,,,,"4","7","0",,"concrete,iron_sheet",iron_sheet,,,,,,,,"27108662",,,,,,,,"2_6_3_3_3,8_4_4",,no,,,yes,yes,,,yes,,,yes,,yes,"200",,,,"4800","4800",,,,"0",,"450",,"4800",,,,mixed,no,mgcsd,,,,no,,,yes,,"7",day_school,,,,yes,yes,school_fees,,,no,,no,no,yes,,,Caroline Ombewa,,,,,,"133","61","72",,,"5","2","2","2","1",,"4",,,,,primary,,,,never,,,,node/9151330717,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627898356575.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627898456040.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627898860580.jpg,,,,,,,,,,,,mathare,Unique Opportunitys Child Forum(Happy Star Academy,,,,Unique Opporunity Child Forum,,,individual,,,no,,,,,,,,,,,,,,,,,,,,yes,"1",,"2",yes,"2",,,,,tap,,,
"MULTIPOINT ((36.845051 -1.263829))",2021/10/07,mueschel,"foot,big_vehicles,small_cars",,,,school,,,,"1","1","1",,"cement_block,concrete",concrete,,,,"PO Box 13114-00400, City Square",mbathaedra@gmail.com,,,"0722496236",,,,,no,"0",,2_6_3_3_3,none,no,,,no,no,,none,no,,,no,,yes,"500","50",,"500",,,,,,"0",,The school provides lunch for the pupils in the school and this is from the school fee they pay.,,"500",,"0",,mixed,no,mgcsd,,,,no,,"0",no,,"5",day_school,,,,no,yes,sponsored,,,yes,none,no,no,no,,,Edra Mbatha Kabati,,,,,,"53","26","27",other,"3","3","0","0","0",,"0","0",,,"0","0",pre_primary,,,,never,,,,node/9154120491,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1626341094109.jpg,,,,,,,,,,,,,,mathare,Mathare Early Childhood Development Centre,,,,individual,,,individual,,,no,,,,,,,,,,,,,,,,,,,,,"1",yes,"1",yes,"1",,,,,,,tap,
"MULTIPOINT ((36.8447 -1.26413))",2021/10/07,Peter Agenga,"small_cars,big_vehicles,foot",,,,school,,,,"1","3","1",,"cement_block,concrete",concrete,,,,,,,,"0723600675",,,,,no,"0",,2_6_3_3_3,none,no,,,no,yes,,none,no,,,yes,,yes,"300","200",,"6300",,,,,,"0",,rent_15000_per_month,,"6300",,"0",,mixed,no,in_the_process,,,,no,,"0",no,,"3",day_school,,,,no,no,,,,yes,the guardian pays less than the expected fee for the opharns,no,no,no,,,Helen Shainanzi,,,,,,"44","27","17",other,"3","2","1","1","1",,"0","2",,,"0","0",pre_primary,,,,sometimes,,,,node/9154220858,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1626424094099.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1626424111920.jpg,,,,,,,,,,,playground,,mathare,Gate View Education Centre,,,,individual,,,private_for_profit,,,,,,,,,,,,,,,,,,,,,,,yes,"2",,"3",yes,"3",,,,,,,water_tank,
"MULTIPOINT ((36.845088 -1.264464))",2021/10/10,mueschel,big_vehicles,,,,school,,,,"1","2","0",,concrete,iron_sheet,,,,"P. O. Box 42613, Nairobi",stphilipsmathare@yahoo.com,,,"0721331479",,,,,no,"0",,2_6_3_3_3,none,yes,,,no,yes,,none,no,,,no,,yes,"0","0",,"6000","6000","7000",,,,"0",,All these are inclusive of the school fees,,"6000",,"0",,mixed,no,mgcsd,,,,yes,,"0",yes,,"3",day_school,,,,no,yes,sponsored,,,yes,"scholarship_for_high_school,mentorship_program,clubs",no,yes,yes,,,Wilson Andenyi,,,,,,"39","18","21",foreign_donors,"3","3","0","1","1","0","0","2",,,no,"0",pre_primary,,,,often,,,,node/9154307240,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1626344555589.jpg,,,,,,,,,,,,,,mathare,St Philips School Mathare,,,,It's operated by the parents,,,cbo,,,no,,,,,,,,,,,,,,,,,,,,,"4",yes,"2",yes,"2",,,,,,,tap,
"MULTIPOINT ((36.845332 -1.264908))",2021/10/07,Peter Agenga,"small_cars,big_vehicles,foot",,,,school,,,,"1","1","1",,"concrete,cement_block",concrete,,,,"PO Box 13024-00200, Nairobi",,,,"0720963434",,,,,no,"0",,2_6_3_3_3,none,no,,,no,no,,none,no,,,no,,yes,"400","230",,"12000",,,,,,"0",,none,,"12000",,"0",,mixed,no,in_the_process,,,,no,,"0",no,,"1",day_school,,,,no,no,,,,no,none,no,no,no,,,Sarah Makuthi,,,,,,"13","4","9",other,"1","1","0","1","1",,"0","0",,,no,"0",pre_primary,,,,sometimes,,,,node/9154643490,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1626428893800.jpg,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1626428977062.jpg,,,,,,,,,,,,mathare,Seraphine Academy School,,,,individual,,,individual,,,no,,,,,,,,,,,,,,,,,,,,yes,"1",,"0",yes,"0",,,,,,,tap,
"MULTIPOINT ((36.84682 -1.264714))",2021/10/07,Peter Agenga,"small_cars,big_vehicles,foot",,,,school,,,,"1","5","1",,"concrete,wood,cement_block",concrete,,,,,stteresas579@gmail.com,,,"0728872126",,,,,no,"0",,2_6_3_3_3,none,no,,,yes,yes,,none,no,,,yes,,yes,"0","0",,"30000",,,,,,"0",,Loreto sister provides food for the pupils,,"30000",,"0",,girls,yes,yes,,,,no,,"0",yes,,"5",day_school,,,,no,yes,sponsored,,,yes,none,no,no,yes,,,Sister Mary Denis,,,,,,"162","162","0",other,"7","7","0","0","0",,"0","0",,,no,"0",pre_primary,,,,always,,,,node/9154742397,,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1626258120441.jpg,,,,,,,,,,,playground,,mathare,St Teresa's Pre Primary School,,,,loreto sisters,,,private_not_for_profit,,,,,,,,,,,,,,,,,,,,,,,yes,"7",,"7",yes,"0",,,,,,,water_tank,
